PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000106889 uM,Activity at 0.0000320667 uM,Activity at 0.0000962002 uM,Activity at 0.0002886007 uM,Activity at 0.0008658020 uM,Activity at 0.00260 uM,Activity at 0.00779 uM,Activity at 0.015 uM,Activity at 0.032 uM,Activity at 0.075 uM,Activity at 0.150 uM,Activity at 0.246 uM,Activity at 0.492 uM,Activity at 0.984 uM,Activity at 1.967 uM,Activity at 3.937 uM,Activity at 7.870 uM,Activity at 15.74 uM,Activity at 31.48 uM,Activity at 62.95 uM,Activity at 125.9 uM,Activity at 191.7 uM,Activity at 383.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,49680434,16311107,C1=CC=C(C=C1)N2C=NC=C2C(=O)NC3=CC=C(C=C3)C(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,4.1545,,,,,,,,,,6.8328,-2.0845,10.9165,6.1278,-4.7027,3.7975,2.7773,2.0962,9.684,-17.4969,2.9867,4.1545,,,QC'd by Enamine
227,26664778,312002,CC1=NC=C(C=C1)C#CC(C)(C(C)(C)C)O,Inactive,0,,,Inactive,,,,,,,,,,4,,0.8852,,,,,,,,,,-4.1116,6.967,2.9902,-7.9227,5.5767,4.828,1.5746,7.7279,3.3723,5.8013,9.3218,0.8852,,,QC'd by NCI Chemotherapeutic Agents Repository
228,17431564,5759278,CN\1CCS/C1=C/C=C/2\C(=O)N(C(=S)S2)CC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-22.5148,,,,,,,,,,-1.5363,-0.371,-1.933,3.8903,1.3231,-1.4684,-1.8335,2.1005,-2.9136,0.0561,-5.5407,-22.5148,,,QC'd by Asinex Ltd.
229,29217477,65015,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3,Inconclusive,27,,,Inhibitor,630.957,98.427,,Partial curve; partial efficacy,-3.2,1.331,0.9036,-100,-1.573,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-40.1298,,,,,,,,,,,,-8.6739,0.369,-2.5834,0.4583,-1.1507,0.6003,-0.6674,-2.5559,-5.7128,-8.17,-11.9232,-40.1298,QC'd by SigmaAldrich
230,26749241,5004,C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O,Inconclusive,10,,,Activator,22.3872,108.539,,Complete curve; high efficacy,-4.65,2.3332,0.9911,107.619,-0.9198,1.1,0 0 0 0 0 0 0 0 0 0 0 0,100.176,,,,,,,,,,,,-1.8217,-2.5999,-0.3272,-0.4271,1.9124,3.8978,16.2117,56.9028,104.469,101.537,107.404,100.176,QC'd by Microsource
231,4258580,532088,COCC(=O)NC1=CC=CC2=CC=CC=C21,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 1 0 0 0 0,-1.2963,,,,,,,,,,5.4929,-2.5908,8.235,7.7622,5.02,0.4214,-1.6641,6.5366,-1.1014,4.2267,1.1735,-1.2963,,,QC'd by DPISMR
232,865511,666765,CC1=C2COC(CC2=C3C4=C(C(=NC=N4)NCC5CCCO5)OC3=N1)(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0 0 1 0 0 0,11.3614,,,,,,,,,,2.0417,2.3939,7.9449,7.1644,3.23,4.5179,7.9844,7.5289,2.5349,9.6123,8.4418,11.3614,,,QC'd by DPISMR
233,26664472,66733,C1=CC=C2C=C(C=CC2=C1)NC(=O)CS,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-22.3612,,,,,,,,,,-0.9874,8.0929,3.1216,2.6435,4.915,5.2126,0.7954,5.2959,0.6552,-1.3709,-5.5547,-22.3612,,,QC'd by NCI Chemotherapeutic Agents Repository
234,49649538,13413786,C1CC2CNC3=CC=CC=C3N2C1,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.8835,,,,,,,,,,3.9815,4.4021,0.0709,0.9048,5.8474,7.0117,6.7083,10.7386,4.216,14.8684,4.7486,-0.8835,,,QC'd by Chem Div
235,24814141,16194242,CCCN(CCC)CCCNC(=S)NC1=CC2=C(C=C1)N=C(C=C2C)N3CCCC3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 0,13.2562,,,,,,,,,,4.6868,3.1879,-2.7897,0.8646,9.7679,3.2764,2.5023,4.7277,5.3177,5.9983,18.4978,13.2562,,,QC'd by Chem Div
236,26666289,908911,CCN1C(=O)[C@H]2[C@@H](C1=O)NN=C2C(=O)C3=NC=CN=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,6.135,,,,,,,,,,4.2302,1.8342,3.1668,6.4171,7.9274,4.7977,5.2853,9.179,7.7372,9.8562,1.9112,6.135,,,QC'd by null
237,22413977,15945759,CC1=NC2(C(S1)N(C3=CC=CC=C32)C(=O)C)O.Br,Inconclusive,10,,,Activator,79.4328,53.2965,,Complete curve; partial efficacy,-4.1,1.8851,0.9757,44.3965,-8.9,1.2,0 0 0 0 0 0 0 0 0 0 0 0,35.5663,,,,,,,,,,,,-7.7411,-8.8062,-9.2086,-10.2404,-9.5761,-5.515,-7.772,-5.3111,6.2877,20.528,41.9908,35.5663,QC'd by Specs
238,49642741,2854978,CC1=CC(=C(C=C1)NC(=O)C(C)N2C(=O)C3=CC=CC=C3C2=O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,6.348,,,,,,,,,,-3.0033,3.6476,4.5516,6.7769,-2.0149,2.1087,4.3852,1.2266,5.5982,-3.7248,3.7831,6.348,,,QC'd by Asinex Ltd.
239,4246768,9555288,CN(C)C(=O)OC1=C(C=C(C=C1)/C=N/N2C=NN=C2)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-5.4017,,,,,,,,,,,,0.5697,-0.3155,0.1898,3.5117,1.4198,0.7143,-0.015,1.2135,0.6996,1.7411,-1.1942,-5.4017,QC'd by DPISMR
240,861706,662941,CN1C2=C(C(=O)NC1=O)N(C(=N2)Br)CCSC3=NC4=CC=CC=C4O3,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.4219,,,,,,,,,,,,2.6809,0.8511,-1.3237,0.4345,-1.8849,0.4299,0.7203,-1.5605,0.2807,1.2174,-0.0527,-2.4219,QC'd by DPISMR
241,26664708,2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-10.4478,,,,,,,,,,-2.3369,0.8566,3.2301,0.901,5.1854,-1.5731,2.8997,-2.4459,-2.5393,4.6805,1.083,-10.4478,,,QC'd by null
242,49716487,7315360,COC1=CC=C(C=C1)N(C(=O)C2=CC=NC=C2)S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,8.5303,,,,,,,,,,5.1296,7.6934,5.0038,0.9934,6.8795,3.4466,1.8428,11.4987,8.5194,8.7476,2.5957,8.5303,,,QC'd by Chem Div
243,49670622,5057198,C1CCN(CC1)C(=O)CN2C(=O)C=CC(=N2)C3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,3.8986,,,,,,,,,,,,1.8794,0.1549,4.5859,5.6784,1.4324,4.0501,1.8543,3.2301,3.1591,4.1655,4.0614,3.8986,QC'd by Chem Div
244,49665128,8071103,C1CCC2=C(C1)C3=C(S2)N(C(=O)N(C3=O)CC(=O)NCCO)CC4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,2.7657,,,,,,,,,,,,0.9816,2.048,4.315,3.1125,4.6078,4.7998,4.6923,2.7547,1.873,2.5246,3.4472,2.7657,QC'd by InterBioScreen
245,17402739,1481943,C1CN(CCC1C(=O)N)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,26.0281,,,,,,,,,,,,-1.2267,0.4157,-1.6123,-1.1489,-2.5077,-1.3929,-2.0203,1.0965,3.8103,-2.5721,5.55,26.0281,QC'd by DPISMR
246,22413635,7986481,CC1=CC=C(C=C1)N2C(=O)[C@@H](NC2=S)CSC,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 1 0 0 0 0 0 0 0 0 0,-2.4568,,,,,,,,,,0.6118,2.3829,-3.5765,11.1035,1.0117,4.0636,8.358,7.7218,3.5232,-2.7039,-2.9401,-2.4568,,,QC'd by Specs
247,24816168,4452965,C1CN(C(C2=CC=CN21)C3=CC=CC=C3F)C(=S)NC4=CC=C(C=C4)Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-15.845,,,,,,,,,,8.4043,5.21,0.8345,2.2195,6.3676,7.891,6.1623,4.4473,4.0109,0.1611,1.5118,-15.845,,,QC'd by Life Chemicals
248,4253075,54677778,C[C@]1([C@H]2C[C@@H]3[C@H](C(=O)C(=C([C@@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O,Active,42,,,Inhibitor,70.745,115.574,,Partial curve; high efficacy,-4.1503,2.3031,0.988,-109.662,5.9121,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-96.7039,,,,,,,,,,2.5655,2.9982,10.7883,8.0662,9.6441,3.0198,1.9249,4.7548,-1.7817,-16.3976,-51.4322,-96.7039,,,QC'd by NCI
249,842972,645250,C1CC2=CC=CC=C2N(C3=CC=CC=C31)C(=O)CSC4=NN=C(O4)C5=CNC6=CC=CC=C65,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-26.4446,,,,,,,,,,3.0895,2.3244,4.7253,-1.4595,5.8645,0.7703,7.4055,6.3514,4.8098,4.682,-2.4728,-26.4446,,,QC'd by DPISMR
250,49666424,3373980,C1=CC(=CC=C1C(=O)CC(C(=O)O)SC2=CC=C(C=C2)Br)F,Inactive,0,,,Inactive,,,,,,,,,,4,,3.7706,,,,,,,,,,,,2.822,2.879,1.9601,0.9898,1.2903,0.4264,1.7783,-0.1367,2.6294,2.516,1.7071,3.7706,QC'd by Key Organics Ltd.
251,49679157,3928388,C1=CC(=CC=C1NC(=O)CCC(=O)O)SSC2=CC=C(C=C2)NC(=O)CCC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,7.717,,,,,,,,,,,,-2.7117,-0.3048,1.1673,-0.5548,-3.3663,-0.1705,0.4672,0.7738,1.8868,3.6394,4.5775,7.717,QC'd by Key Organics Ltd.
252,49645932,8016348,C[C@@H](C(=O)OC)NC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,Active,81,,,Inhibitor,50.0836,85.7146,,Complete curve; high efficacy,-4.3003,3.5117,0.9957,-84.9077,0.8069,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-82.8633,,,,,,,,,,-0.4407,-1.6201,-0.6275,1.7219,0.9081,1.1422,1.5242,4.0673,-3.4937,-19.7273,-71.3615,-82.8633,,,QC'd by InterBioScreen
253,852712,6602657,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NN=C(S4)CC.Cl,Active,81,,,Inhibitor,25.1013,104.129,,Complete curve; high efficacy,-4.6003,1.5386,0.9931,-101.045,3.0842,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-95.1456,,,,,,,,,,-1.0645,2.3683,2.7757,0.3986,3.4627,7.6614,-5.4098,-19.8524,-34.7518,-66.0726,-85.5014,-95.1456,,,QC'd by DPISMR
254,26732562,135408648,CC1=CC=C(C=C1)NC2=C(C(=O)NC(=N2)N)N=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,17.4882,,,,,,,,,,1.766,3.1486,6.8435,-0.0685,0.4557,3.955,8.9212,7.0327,6.929,12.7619,9.2792,17.4882,,,QC'd by NCI Chemotherapeutic Agents Repository
255,49725028,2058961,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,Inconclusive,10,,,Activator,158.489,28.2662,,Partial curve; partial efficacy,-3.8,3.5117,0.9612,28,-0.2662,2.2,0 0 0 0 0 0 0 0 0 0 0 0,31.6526,,,,,,,,,,,,-1.2446,0.9497,-1.3225,1.0345,-0.8349,-2.3052,1.6642,-0.1168,-0.5446,3.833,16.2321,31.6526,QC'd by Chem Div
256,49727125,2771918,COC1=CC=CC=C1N(CC2CO2)S(=O)(=O)C3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,2.4978,,,,,,,,,,1.3565,-7.1086,1.1877,-0.0759,4.8137,5.4272,3.3807,-5.7846,2.5621,-1.1721,-5.8914,2.4978,,,QC'd by Asinex Ltd.
257,49724885,24792240,C1C[N+]2(CC[N+]1(CC2)CC(=O)C3=CC=C(C=C3)F)CC(=O)C4=CC=C(C=C4)F.[Cl-],Inconclusive,21,,,Inhibitor,79.3772,50.9718,,Partial curve; partial efficacy,-4.1003,2.1876,0.9623,-46.9718,4,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-39.1431,,,,,,,,,,1.8141,5.4919,4.3618,1.9192,3.6759,9.9594,6.5095,2.1681,-1.7788,-4.2295,-18.4507,-39.1431,,,QC'd by Enamine
258,49645433,1093763,CC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NC3=C(C=CC(=C3)C)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-8.7959,,,,,,,,,,-2.7112,2.9372,9.3089,7.3732,9.5505,4.1335,11.05,5.2468,4.5252,-1.9617,-9.5487,-8.7959,,,QC'd by Asinex Ltd.
259,17401178,1229805,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC(=S)NC4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.5471,,,,,,,,,,,,1.9139,1.4837,4.7526,1.1325,3.5601,4.1769,1.0332,8.2589,2.0473,4.1063,0.0713,-1.5471,QC'd by DPISMR
260,17401256,1208410,CCOC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)OC(=S)N3CCC(CC3)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 1,-5.9825,,,,,,,,,,-2.9247,1.1562,4.7418,-1.5507,2.6927,7.1151,6.5895,4.4112,4.3945,1.1683,6.5554,-5.9825,,,QC'd by DPISMR
261,49647070,1932347,CCNC1=CC=CC=C1CP(=O)(C2=CC=CC=C2)C3=CC=CC=C3O,Active,41,,,Inhibitor,89.0627,69.6645,,Partial curve; partial efficacy,-4.0503,4.4495,0.9335,-61.6645,8,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-68.8399,,,,,,,,,,3.9374,13.4401,12.4738,5.1769,1.4014,8.0554,4.5034,7.4,6.33,14.9336,-12.9871,-68.8399,,,QC'd by InterBioScreen
262,49669865,24761525,CCOC(=O)N1CCN(CC1)CC2=NN=C(O2)C3=CC=CC=C3C.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 1 0 0 0,10.2708,,,,,,,,,,1.3534,6.4322,7.1901,3.4409,5.9046,5.336,7.1723,6.0029,11.8848,9.5227,7.0846,10.2708,,,QC'd by Chem Div
263,856050,657435,C1COCCN1C2=NC3=CC=CC=C3C4=C2C5=CC=CC=C5N4,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.3611,,,,,,,,,,,,1.7274,-1.2774,-3.3163,-11.4173,1.3567,-1.7542,-0.6749,-2.4832,-4.5091,-1.2892,-4.1106,-9.3611,QC'd by DPISMR
264,17389015,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inconclusive,20,,,Inhibitor,794.328,94.3686,,Single point of activity,-3.1,1.8265,0.6673,-100,-5.6314,-3,0 0 0 0 0 0 0 0 0 0 0 0,-33.0436,,,,,,,,,,,,-5.4034,-6.123,-6.9274,-6.6299,-7.5748,-10.3241,-8.0435,-7.8056,-6.8269,-1.3595,-1.9308,-33.0436,QC'd by NIEHS
265,17517209,2375646,CC(=C)CNC(=S)NC1=CC=CC2=C1C=CN=C2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0 1 0 0 0 0,6.8221,,,,,,,,,,-2.1363,-0.971,2.0897,9.0072,5.9436,3.8996,3.0522,-0.8545,-0.7529,3.2921,3.4913,6.8221,,,QC'd by Enamine
266,49666601,1470719,CN(C1=CC=CC=C1)C2=NC(=NC=C2OC)C3=CC=CC=N3,Inactive,0,,,Inactive,,,,,,,,,,4,,4.3753,,,,,,,,,,5.665,9.1966,3.7173,2.3797,10.5474,5.1624,2.6705,6.1932,1.991,12.2602,6.853,4.3753,,,QC'd by Key Organics Ltd.
267,24779505,4415331,C1CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)C(=O)NC4=CC=C(C=C4)S(=O)(=O)N,Inconclusive,21,,,Inhibitor,79.3772,53.3243,,Partial curve; partial efficacy,-4.1003,2.3031,0.9637,-52.8951,0.4292,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-46.3992,,,,,,,,,,0.5879,-2.4848,0.5664,4.309,3.7453,-4.3647,1.8711,1.8638,-2.9327,-10.5821,-23.0019,-46.3992,,,QC'd by Life Chemicals
268,49713913,24789294,CC1(C(N2[C@H](S1)C(N(C2=O)CC3=NC4=CC=CC=C4S3)C(=O)OC)C(=O)OC)C,Inactive,0,,,Inactive,,,,,,,,,,4,,5.9563,,,,,,,,,,8.1608,4.3221,-0.8769,1.9902,6.8711,1.6791,-1.9039,0.9356,2.487,4.2476,0.7679,5.9563,,,QC'd by Paul R Hanson - Univ. of Kansas - MLI PSL
269,26658336,2367859,C1=CC2=C(C(=C1)N)C(=O)N(C2=O)C(=O)C3=CC=CO3,Inactive,0,,,Inactive,,,,,,,,,,4,,12.9733,,,,,,,,,,5.3667,14.4868,2.7146,2.6744,3.4557,6.0223,10.929,-1.1449,5.1167,7.2621,6.2931,12.9733,,,QC'd by null
270,17403148,3091258,CC1=CC(=CC=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)OCC2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 0,-17.4858,,,,,,,,,,,,-11.4473,-13.0977,-13.6331,-16.6543,-12.6669,-14.5056,-14.238,-14.2455,-14.2056,-15.4894,-15.7866,-17.4858,QC'd by DPISMR
271,49666948,24761135,C1CCN(CC1)C(=O)C2CCCN(C2)CC3=CC(=CC=C3)Cl.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,1.078,,,,,,,,,,-7.3999,5.7898,-1.7564,-4.2533,0.2037,2.4962,0.9719,-1.2165,0.3085,0.7976,2.5831,1.078,,,QC'd by InterBioScreen
272,24808237,3220367,CC(C)C(C(=O)NCCOC)OC(=O)C1=NSC(=C1Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,5.0255,,,,,,,,,,-0.062,5.3041,-0.463,-5.3475,0.6853,-0.2558,-2.2528,0.7919,-4.4557,0.9266,0.2368,5.0255,,,QC'd by Asinex Ltd.
273,47201925,677488,C1=CC=C2C=C(C=CC2=C1)/C=C/3\C(=O)NC(=S)N3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-20.0789,,,,,,,,,,1.7233,1.9051,-0.9877,1.3658,8.4634,6.2798,6.4525,1.9912,4.5856,2.1982,-7.9974,-20.0789,,,QC'd by ChemBridge
274,49724797,16240777,CN1CCN(CC1)CC(=O)C2=CC=CC=C2F.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,7.3253,,,,,,,,,,1.9404,2.5758,7.2114,9.7681,-2.625,6.4075,2.8935,2.1818,5.2662,4.3451,5.7627,7.3253,,,QC'd by Enamine
275,49646965,1390982,COC1=CC=CC=C1C(=O)NC2=CC=CC=C2SC(=O)C3=CC=CC=C3OC,Inconclusive,20,,,Inhibitor,794.328,94.3351,,Single point of activity,-3.1,1.8265,0.772,-100,-5.6649,-3,0 0 0 0 0 0 0 0 0 0 0 0,-32.2669,,,,,,,,,,,,-9.1784,-5.9244,-6.0644,-4.2439,-4.506,-7.4838,-8.0512,-5.2993,-5.3166,-2.2208,-4.8938,-32.2669,QC'd by InterBioScreen
276,49724816,16243383,CN(CCOC1=CC=C(C=C1)Cl)CC(C2=CC=CC=C2)O.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.6284,,,,,,,,,,,,0.3343,0.7682,1.8598,1.7503,-0.4721,2.1814,0.3753,3.7985,2.0587,6.8614,3.5922,-2.6284,QC'd by Enamine
277,49674929,2449982,COC1=C(C=C(C=C1)CNC(=O)CCCSC2=CC=CC=C2)C(=O)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0 0 0 0 0 1,3.6831,,,,,,,,,,0.6489,-0.6771,2.0441,1.2141,-0.052,-1.4857,1.889,4.0763,5.3915,5.2707,6.5216,3.6831,,,QC'd by Enamine
278,47199029,1377190,CC1=C(C=CC(=C1C)OC)CN2CCC(CC2)CC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 1 0 0,7.6371,,,,,,,,,,0.1683,3.6805,-1.3093,3.3459,4.623,4.6572,8.2989,6.9433,8.1394,14.2204,6.0573,7.6371,,,QC'd by ChemBridge
279,49670860,23609658,C1CN(CCC1NC(=O)C2=C(C=CC=C2F)F)C3=NC=CC=N3,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.5906,,,,,,,,,,,,1.221,1.4119,0.1681,-0.1232,1.5212,0.9946,3.9037,1.3591,1.3187,1.0395,0.5998,-1.5906,QC'd by Chem Div
280,16952961,2868950,COC1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4OC3=O)C5=C(N2)C=CC6=CC=CC=C65,Inconclusive,21,,,Inhibitor,70.745,47.7322,,Partial curve; partial efficacy,-4.1503,1.6924,0.9644,-42.7322,5,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-32.7922,,,,,,,,,,5.5025,5.7889,1.5695,11.0232,2.9286,2.8211,5.7358,4.1606,-1.121,-7.779,-19.7028,-32.7922,,,QC'd by DPISMR
281,49666263,1477595,C1=CC=C(C=C1)S(=O)(=O)C2=NC=C(C=C2)[N+](=O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,,1.6926,,,,,,,,,,,,-0.7228,0.314,1.5679,1.2998,-1.6736,-0.4939,-0.3413,-0.2779,-0.8895,0.0548,-0.1221,1.6926,QC'd by Key Organics Ltd.
282,17506477,2840039,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)C3=CSC(=N3)NC4=CC=C(C=C4)Br.Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-9.001,,,,,,,,,,,,-2.7528,-2.05,-2.8307,0.0507,-1.1909,-2.121,-3.2942,-6.6802,-7.4393,-6.8807,-8.5321,-9.001,QC'd by ChemBridge
283,17413678,1153237,CC1=CC2=CC=CC=C2N=C1SCC(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-6.5449,,,,,,,,,,,,-1.4653,0.2983,-1.8985,-1.2688,-3.0942,-1.7467,-0.9819,-2.2768,-3.6414,-3.8598,-6.2327,-6.5449,QC'd by DPISMR
284,49644351,2047299,CC1=NC(=C2C3=C(CCCC3)SC2=N1)N4CCN(CC4)C,Inactive,0,,,Inactive,,,,,,,,,,4,,0.2794,,,,,,,,,,1.6189,-2.7908,2.0965,1.7206,2.0053,2.2827,0.341,0.0354,1.8857,6.0374,-3.4104,0.2794,,,QC'd by Asinex Ltd.
285,24827880,1536777,CC1=C(SC2=NC=NC(=C12)NC3CCN(CC3)CC4=CC=CC=C4)C,Active,43,,,Inhibitor,125.892,80.7485,,Partial curve; high efficacy,-3.9,2.0437,0.998,-88.8204,-8.0719,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-82.2411,,,,,,,,,,,,-5.7707,-7.4331,-7.7195,-7.9031,-7.5241,-8.9576,-9.6003,-12.8283,-18.063,-37.2906,-63.6425,-82.2411,QC'd by Enamine
